estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
i16,p4,2,-2.73,0.03
i16,p5,1,-2.73,0.01
i16,p8,1,-2.73,0.01
i17,g2,2,-2.73,0.09
i17,i16,11,-2.34,0.5
i17,i17,6,-1.6,0.27
i17,i35,2,-1.5,0.09
i17,p0,1,-2.73,0.05
i35,c25,1,-2.73,0.09
i35,i17,1,-2.73,0.09
i35,p0,4,-1.64,0.36
i35,p28,1,-2.73,0.09
i35,p4,2,-2.73,0.18
i35,p5,2,-2.73,0.18
i36,c10,1,-2.73,0.5
i36,c46,1,-2.73,0.5
i39,g2,3,-2.73,0.5
i39,g3,1,-2.73,0.17
i39,l32,2,-1.4,0.33
j22,j22,6,-2.73,0.86
j22,p0,1,-2.73,0.14
l14,b12,1,-2.73,0.01
l14,c10,2,-1.4,0.03
l14,g2,2,-2.73,0.03
l14,g3,5,-2.73,0.07
l14,l14,24,-1.89,0.33
l14,l15,8,-2.73,0.11
l14,l40,26,-1.21,0.36
l14,p28,1,-0.26,0.01
l14,p37,1,-2.73,0.01
l14,p4,2,-2.73,0.03
l15,g2,1,-0.84,0.07
l15,l14,10,-2.22,0.71
l15,l15,2,-2.73,0.14
l15,l40,1,-2.73,0.07
l32,b12,1,-2.73,0.07
l32,c10,2,-1.4,0.13
l32,c6,1,-2.73,0.07
l32,g2,3,-2.73,0.2
l32,g3,3,-2.73,0.2
l32,i16,1,-2.73,0.07
l32,p0,4,-0.78,0.27
l40,c10,1,-0.84,0.03
l40,c27,2,-0.45,0.07
l40,c38,1,-0.26,0.03
l40,c6,1,-0.26,0.03
l40,l14,18,-1.45,0.6
l40,l15,2,-1.4,0.07
l40,p0,4,-1.64,0.13
l40,p5,1,-2.73,0.03
l43,g2,1,-2.73,1.0
p0,23,10,-0.7,0.06
p0,44,1,-2.73,0.01
p0,47,1,-0.26,0.01
p0,b12,2,-2.73,0.01
p0,b13,1,-0.26,0.01
p0,c10,18,-2.06,0.11
p0,c11,20,-1.42,0.12
p0,c27,2,-0.84,0.01
p0,c6,2,-1.5,0.01
p0,g2,11,-2.56,0.06
p0,g3,5,-2.73,0.03
p0,i16,4,-2.73,0.02
p0,i17,3,-1.28,0.02
p0,l14,4,-1.59,0.02
p0,l15,1,-0.26,0.01
p0,p0,41,-1.55,0.24
p0,p1,2,-1.4,0.01
p0,p18,2,-2.73,0.01
p0,p20,2,-1.38,0.01
p0,p26,3,-0.84,0.02
p0,p28,6,-2.73,0.04
p0,p4,12,-1.41,0.07
p0,p5,5,-0.95,0.03
p0,p8,5,-1.6,0.03
p0,p9,7,-2.11,0.04
p1,23,1,-0.07,0.25
p1,p1,1,-2.73,0.25
p1,p5,1,-2.73,0.25
p1,p9,1,-2.73,0.25
p18,c10,1,-2.73,0.04
p18,c11,2,-2.73,0.07
p18,g2,1,-2.73,0.04
p18,g3,1,-2.73,0.04
p18,p18,16,-2.73,0.57
p18,p19,4,-2.73,0.14
p18,p4,1,-0.84,0.04
p18,p45,1,-2.73,0.04
p18,p5,1,-2.73,0.04
p19,c11,1,-2.73,0.07
p19,g2,2,-2.73,0.13
p19,p18,2,-2.73,0.13
p19,p19,9,-2.73,0.6
p19,p45,1,-2.73,0.07
p20,c27,1,-0.02,0.07
p20,c7,1,-2.73,0.07
p20,i16,1,-2.73,0.07
p20,p20,9,-2.73,0.64
p20,p28,1,-2.73,0.07
p20,p50,1,-0.02,0.07
p21,p20,1,-2.73,1.0
p24,c25,73,-2.25,0.68
p24,c27,2,-1.79,0.02
p24,g2,3,-2.1,0.03
p24,g3,1,-2.73,0.01
p24,i35,1,-2.73,0.01
p24,i39,1,-2.73,0.01
p24,l14,1,-2.73,0.01
p24,l32,2,-2.73,0.02
p24,p0,6,-1.66,0.06
