estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
g2,g3,18,-1.03,0.11
g2,i10,3,-1.0,0.02
g2,i11,1,-0.93,0.01
g2,l17,1,-1.53,0.01
g2,p0,1,-0.93,0.01
g2,p12,1,-1.53,0.01
g2,p21,43,-0.81,0.25
g2,p23,4,-0.8,0.02
g2,p34,7,-1.35,0.04
g2,p6,5,-0.55,0.03
g2,p8,3,-1.0,0.02
g2,p9,1,-1.53,0.01
g3,b14,2,-0.77,0.02
g3,c22,3,-0.88,0.03
g3,c4,4,-1.28,0.04
g3,c5,4,-0.98,0.04
g3,g2,5,-0.9,0.06
g3,g3,14,-0.93,0.16
g3,i10,1,-0.93,0.01
g3,i11,1,-1.53,0.01
g3,i29,3,-0.95,0.03
g3,l17,1,-1.53,0.01
g3,p12,2,-1.23,0.02
g3,p13,2,-0.97,0.02
g3,p21,38,-1.07,0.42
g3,p23,1,-0.55,0.01
g3,p28,3,-1.53,0.03
g3,p6,2,-0.55,0.02
g3,p8,2,-0.74,0.02
g3,p9,2,-0.97,0.02
i10,20,1,-1.53,0.03
i10,b14,1,-1.53,0.03
i10,g2,4,-0.98,0.11
i10,g3,1,-1.53,0.03
i10,i10,7,-1.27,0.2
i10,i11,12,-1.38,0.34
i10,i36,3,-1.53,0.09
i10,l16,1,-1.53,0.03
i10,p0,1,-0.93,0.03
i10,p34,2,-1.53,0.06
i10,p7,2,-1.53,0.06
i11,20,3,-1.53,0.05
i11,b35,1,-1.53,0.02
i11,g2,1,-0.93,0.02
i11,g3,1,-1.53,0.02
i11,i10,8,-1.53,0.12
i11,i11,27,-1.3,0.41
i11,i36,10,-1.41,0.15
i11,l16,1,-1.53,0.02
i11,p0,5,-0.93,0.08
i11,p18,1,-0.93,0.02
i11,p27,2,-1.53,0.03
i11,p34,1,-1.53,0.02
i11,p6,2,-1.23,0.03
i11,p7,3,-1.15,0.05
i29,b14,1,-1.53,0.14
i29,c5,1,-0.41,0.14
i29,g2,1,-0.93,0.14
i29,g3,1,-1.53,0.14
i29,p6,2,-1.53,0.29
i29,p7,1,-0.93,0.14
i30,b14,1,-1.53,0.25
i30,c5,1,-0.41,0.25
i30,g3,2,-1.53,0.5
i36,b35,1,-1.53,0.07
i36,c5,2,-1.53,0.14
i36,i11,6,-1.43,0.43
i36,p0,3,-1.33,0.21
i36,p27,2,-1.53,0.14
l16,c22,1,-0.93,0.07
l16,c4,1,-1.53,0.07
l16,c5,2,-1.53,0.14
l16,g3,1,-1.53,0.07
l16,i10,1,-1.53,0.07
l16,l16,3,-1.33,0.21
l16,l17,2,-1.53,0.14
l16,p0,2,-0.93,0.14
l16,p21,1,-0.93,0.07
l17,c24,2,-1.23,0.12
l17,c4,3,-1.53,0.19
l17,g3,1,-1.53,0.06
l17,l16,4,-1.38,0.25
l17,l17,1,-1.53,0.06
l17,p0,1,-0.93,0.06
l17,p28,2,-1.53,0.12
l17,p8,1,-1.53,0.06
l17,p9,1,-1.53,0.06
l40,p0,1,-1.53,1.0
p0,20,4,-0.34,0.03
p0,b14,5,-1.29,0.04
p0,b15,5,-0.93,0.04
p0,c24,2,-1.53,0.02
p0,c4,6,-0.75,0.05
p0,c5,12,-1.03,0.1
p0,g2,8,-1.1,0.07
p0,g3,6,-1.26,0.05
p0,i10,5,-1.17,0.04
p0,i11,5,-1.17,0.04
p0,l16,2,-0.93,0.02
p0,l17,2,-1.23,0.02
p0,p0,21,-0.84,0.18
p0,p12,4,-1.0,0.03
p0,p13,1,-0.93,0.01
p0,p18,3,-1.13,0.03
p0,p28,1,-0.55,0.01
p0,p6,6,-1.33,0.05
p0,p7,4,-1.38,0.03
p0,p8,10,-1.31,0.09
p0,p9,3,-0.88,0.03
p1,c4,1,-0.55,0.25
p1,p0,1,-0.93,0.25
p1,p1,1,-0.55,0.25
p1,p21,1,-1.53,0.25
p12,c24,2,-1.53,0.03
p12,c4,1,-1.53,0.02
p12,g2,2,-1.53,0.03
p12,g3,3,-0.5,0.05
p12,p0,2,-1.53,0.03
p12,p12,31,-1.39,0.47
p12,p13,20,-1.17,0.3
p12,p23,1,-0.93,0.02
p12,p37,3,-1.33,0.05
p12,p7,1,-1.53,0.02
p13,c5,1,-0.93,0.04
p13,g2,1,-1.53,0.04
p13,g3,2,-0.97,0.07
p13,p12,19,-1.18,0.7
p13,p13,2,-0.93,0.07
p13,p37,1,-0.93,0.04
p13,p7,1,-1.53,0.04
p18,c4,2,-1.23,0.1
p18,c5,4,-1.53,0.2
p18,i11,1,-0.93,0.05
p18,p0,2,-0.93,0.1
p18,p18,9,-1.33,0.45
p18,p19,1,-1.53,0.05
p18,p8,1,-1.53,0.05
p19,c4,1,-1.53,0.5
p19,p18,1,-1.53,0.5
p21,20,2,-1.23,0.02
p21,b14,1,-0.93,0.01
p21,c22,1,-0.55,0.01
p21,c24,3,-1.13,0.03
p21,c4,9,-0.9,0.08
p21,c5,14,-0.88,0.13
p21,g2,27,-0.9,0.25
p21,g3,10,-0.9,0.09
p21,i10,3,-1.33,0.03
p21,i11,1,-1.53,0.01
p21,i29,1,-1.53,0.01
p21,p0,13,-1.31,0.12
p21,p12,2,-1.04,0.02
p21,p13,1,-1.53,0.01
p21,p23,8,-0.75,0.07
p21,p25,1,-1.53,0.01
p21,p39,1,-1.53,0.01
p21,p6,5,-1.29,0.05
p21,p7,4,-1.1,0.04
p21,p9,3,-1.0,0.03
p23,c24,3,-0.88,0.15
p23,c4,2,-0.48,0.1
p23,c5,2,-1.04,0.1
p23,g2,3,-0.68,0.15
p23,g3,4,-0.89,0.2
p23,p12,1,-0.93,0.05
p23,p6,3,-1.15,0.15
p23,p7,1,-1.53,0.05
p23,p8,1,-0.55,0.05
p25,c22,1,-1.53,0.33
p25,c5,2,-1.04,0.67
p26,20,1,-1.53,0.03
p26,c24,1,-0.55,0.03
p26,c5,2,-0.55,0.05
p26,p0,7,-1.22,0.18
p26,p27,8,-0.8,0.21
p26,p34,1,-1.53,0.03
p26,p6,1,-0.55,0.03
p26,p7,1,-1.53,0.03
p26,p8,14,-1.16,0.37
p26,p9,2,-1.53,0.05
p27,b35,1,-0.93,0.03
p27,c4,2,-0.97,0.06
p27,c5,10,-0.52,0.3
p27,i11,2,-1.53,0.06
p27,i36,1,-1.53,0.03
p27,p0,5,-1.18,0.15
p27,p7,1,-0.41,0.03
p27,p8,8,-0.92,0.24
p27,p9,3,-0.55,0.09
p28,c22,1,-1.53,0.12
p28,c4,1,-1.53,0.12
p28,g3,1,-1.53,0.12
p28,i30,1,-1.53,0.12
p28,l17,1,-1.53,0.12
p28,p25,1,-1.53,0.12
p28,p6,1,-1.53,0.12
p28,p9,1,-0.55,0.12
p32,c4,1,-0.41,0.5
p32,c5,1,-0.41,0.5
p34,b35,1,-1.53,0.07
p34,c4,1,-0.93,0.07
p34,c5,1,-0.93,0.07
p34,g2,3,-1.53,0.21
p34,g3,4,-1.23,0.29
p34,i10,1,-1.53,0.07
p34,i11,1,-1.53,0.07
p34,p7,1,-1.53,0.07
p34,p8,1,-1.53,0.07
p37,c4,1,-1.53,0.25
p37,c5,1,-0.93,0.25
p37,p0,2,-1.23,0.5
p39,g2,1,-1.53,1.0
p6,20,1,-1.53,0.01
p6,c22,1,-0.41,0.01
p6,c5,18,-0.87,0.19
p6,g2,6,-0.55,0.06
p6,g3,1,-0.55,0.01
p6,i11,1,-1.53,0.01
p6,p0,1,-0.55,0.01
p6,p12,1,-1.53,0.01
p6,p21,17,-1.25,0.18
p6,p23,3,-1.53,0.03
p6,p6,25,-1.31,0.26
p6,p7,16,-1.2,0.17
p6,p8,3,-0.88,0.03
p6,p9,2,-0.67,0.02
p7,20,1,-0.41,0.01
p7,b14,1,-0.93,0.01
p7,b15,1,-0.93,0.01
p7,c4,8,-0.97,0.08
p7,c5,16,-0.88,0.16
p7,i10,2,-1.53,0.02
p7,i11,2,-0.97,0.02
p7,i29,2,-1.23,0.02
p7,p0,3,-0.95,0.03
p7,p21,10,-1.24,0.1
p7,p23,2,-0.97,0.02
p7,p28,1,-1.53,0.01
p7,p34,1,-1.53,0.01
p7,p6,17,-1.22,0.17
p7,p7,23,-1.28,0.23
p7,p8,8,-0.87,0.08
p7,p9,2,-1.04,0.02
p8,b35,1,-1.53,0.01
p8,c5,3,-0.88,0.02
p8,g2,5,-0.9,0.04
p8,g3,1,-0.55,0.01
p8,l16,1,-1.53,0.01
p8,p18,1,-1.53,0.01
p8,p23,1,-0.55,0.01
p8,p26,34,-1.07,0.27
p8,p27,3,-1.2,0.02
p8,p6,2,-0.74,0.02
p8,p7,8,-0.95,0.06
p8,p8,48,-1.43,0.38
p8,p9,20,-1.4,0.16
p9,b35,1,-1.53,0.02
p9,c22,1,-0.41,0.02
p9,c24,1,-1.53,0.02
p9,c4,3,-0.5,0.06
p9,c5,1,-0.55,0.02
p9,g2,3,-1.33,0.06
p9,p0,3,-0.88,0.06
p9,p26,4,-1.13,0.08
p9,p27,3,-0.88,0.06
p9,p6,2,-1.23,0.04
p9,p7,2,-1.04,0.04
p9,p8,18,-1.42,0.38
p9,p9,6,-1.43,0.12
