estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
20,EOD,6,-0.57,0.35
20,c22,1,-0.41,0.06
20,c5,2,-0.97,0.12
20,i10,2,-1.53,0.12
20,i11,2,-1.53,0.12
20,p0,3,-0.82,0.18
20,p32,1,-0.41,0.06
33,c4,1,-0.41,1.0
SOD,c4,1,-0.41,0.17
SOD,p0,3,-0.19,0.5
SOD,p1,2,-1.23,0.33
b14,b14,28,-1.31,0.52
b14,b15,6,-1.33,0.11
b14,b38,5,-1.17,0.09
b14,c24,1,-1.53,0.02
b14,c4,2,-1.53,0.04
b14,c5,3,-1.02,0.06
b14,g2,1,-0.93,0.02
b14,g3,1,-1.53,0.02
b14,i10,1,-1.53,0.02
b14,i29,1,-1.53,0.02
b14,p0,3,-1.13,0.06
b14,p28,1,-1.53,0.02
b14,p7,1,-0.93,0.02
b15,b14,7,-1.27,0.54
b15,g2,1,-1.53,0.08
b15,p0,4,-0.93,0.31
b15,p6,1,-0.93,0.08
b35,c5,1,-0.93,0.12
b35,g2,1,-1.53,0.12
b35,i11,2,-1.53,0.25
b35,p0,2,-1.53,0.25
b35,p8,2,-1.53,0.25
b38,c24,1,-1.53,0.2
b38,p0,3,-1.13,0.6
b38,p27,1,-0.93,0.2
c22,c4,1,-0.93,0.06
c22,c5,5,-0.57,0.29
c22,g3,1,-0.55,0.06
c22,i30,3,-1.15,0.18
c22,l16,1,-0.93,0.06
c22,p13,1,-1.53,0.06
c22,p25,1,-0.55,0.06
c22,p27,1,-0.41,0.06
c22,p6,1,-0.41,0.06
c22,p7,1,-0.41,0.06
c22,p8,1,-0.55,0.06
c24,b14,1,-1.53,0.06
c24,c5,3,-1.33,0.18
c24,g2,4,-0.98,0.24
c24,g3,1,-0.55,0.06
c24,l16,1,-1.53,0.06
c24,l40,1,-1.53,0.06
c24,p0,3,-1.33,0.18
c24,p12,2,-1.53,0.12
c24,p8,1,-0.55,0.06
c31,b14,1,-0.93,0.07
c31,c5,6,-0.75,0.4
c31,p0,3,-1.13,0.2
c31,p27,4,-0.54,0.27
c31,p34,1,-0.93,0.07
c4,20,2,-0.48,0.02
c4,33,1,-0.41,0.01
c4,b14,3,-1.33,0.03
c4,c22,1,-0.41,0.01
c4,c4,9,-0.85,0.09
c4,c5,19,-0.59,0.19
c4,g2,24,-0.82,0.24
c4,g3,10,-1.1,0.1
c4,i10,1,-1.53,0.01
c4,l17,6,-1.43,0.06
c4,p0,5,-1.08,0.05
c4,p12,1,-1.53,0.01
c4,p18,3,-1.33,0.03
c4,p27,2,-0.67,0.02
c4,p6,4,-0.72,0.04
c4,p7,8,-0.97,0.08
c4,p8,1,-0.55,0.01
c4,p9,1,-0.55,0.01
c5,20,2,-0.21,0.01
c5,b14,2,-1.53,0.01
c5,b35,1,-1.53,0.0
c5,c22,4,-0.67,0.02
c5,c31,15,-0.79,0.07
c5,c4,22,-0.67,0.1
c5,c5,63,-0.77,0.3
c5,g2,21,-0.74,0.1
c5,g3,6,-0.89,0.03
c5,i11,2,-1.23,0.01
c5,l17,2,-1.23,0.01
c5,p0,12,-1.07,0.06
c5,p1,1,-0.55,0.0
c5,p12,2,-1.23,0.01
c5,p18,2,-1.53,0.01
c5,p19,1,-1.53,0.0
c5,p27,7,-0.64,0.03
c5,p32,1,-0.41,0.0
c5,p34,1,-0.93,0.0
c5,p6,17,-0.93,0.08
c5,p7,21,-0.87,0.1
c5,p8,5,-0.75,0.02
c5,p9,1,-1.53,0.0
g2,b15,1,-1.53,0.01
g2,b35,1,-1.53,0.01
g2,c22,2,-0.55,0.01
g2,c24,1,-0.93,0.01
g2,c4,18,-0.86,0.11
g2,c5,11,-0.82,0.06
g2,g2,49,-0.93,0.29
