estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
c3,p11,3,-0.28,0.02
c3,p29,4,-1.36,0.03
c3,p5,9,-1.18,0.06
c3,p6,4,-1.39,0.03
c3,p7,1,-0.28,0.01
c3,p8,2,-0.62,0.01
c3,p9,1,-0.28,0.01
c33,c3,1,-1.76,0.5
c33,p5,1,-1.76,0.5
c4,21,1,-1.76,1.0
g15,b13,2,-0.96,0.01
g15,b14,1,-0.96,0.01
g15,b38,1,-0.96,0.01
g15,c2,2,-1.76,0.01
g15,c24,4,-0.96,0.02
g15,c3,6,-1.63,0.04
g15,g15,73,-1.22,0.45
g15,g16,15,-1.44,0.09
g15,i17,1,-1.76,0.01
g15,i34,1,-1.76,0.01
g15,p0,2,-0.96,0.01
g15,p23,48,-1.45,0.29
g15,p31,5,-1.28,0.03
g15,p35,1,-0.96,0.01
g15,p6,1,-1.76,0.01
g15,p7,1,-1.76,0.01
g16,b13,1,-0.96,0.01
g16,b14,1,-0.96,0.01
g16,b37,1,-0.96,0.01
g16,c2,2,-1.76,0.02
g16,c24,1,-1.76,0.01
g16,c3,5,-1.76,0.06
g16,g15,12,-1.5,0.15
g16,g16,11,-1.69,0.14
g16,i17,3,-1.76,0.04
g16,i18,7,-1.76,0.09
g16,p10,1,-1.76,0.01
g16,p23,22,-1.58,0.27
g16,p31,1,-1.76,0.01
g16,p32,2,-1.76,0.02
g16,p35,1,-0.96,0.01
g16,p6,7,-1.65,0.09
g16,p7,2,-1.36,0.02
g16,p8,1,-1.76,0.01
i17,g15,4,-1.76,0.18
i17,g16,1,-1.76,0.05
i17,i17,3,-1.76,0.14
i17,i18,10,-1.76,0.45
i17,i36,2,-1.76,0.09
i17,p6,1,-1.76,0.05
i17,p9,1,-0.96,0.05
i18,g15,1,-1.76,0.01
i18,g16,9,-1.76,0.13
i18,i17,10,-1.76,0.14
i18,i18,37,-1.76,0.52
i18,i36,7,-1.76,0.1
i18,p0,1,-1.76,0.01
i18,p11,1,-1.76,0.01
i18,p29,3,-1.76,0.04
i18,p5,1,-1.76,0.01
i18,p6,1,-1.76,0.01
i34,i18,1,-1.76,0.25
i34,p35,3,-1.23,0.75
i36,b13,1,-0.96,0.1
i36,i18,2,-1.76,0.2
i36,p0,5,-1.76,0.5
i36,p29,2,-1.76,0.2
l19,c3,2,-1.76,0.33
l19,l19,1,-1.76,0.17
l19,l20,2,-1.36,0.33
l19,p0,1,-0.96,0.17
l20,l19,2,-1.36,0.2
l20,l20,7,-1.42,0.7
l20,p0,1,-1.76,0.1
l26,c24,2,-0.28,0.5
l26,p23,2,-0.28,0.5
p0,21,4,-0.82,0.03
p0,30,1,-1.76,0.01
p0,b13,2,-0.62,0.01
p0,b14,4,-1.36,0.03
p0,c2,6,-1.38,0.04
p0,c24,1,-1.76,0.01
p0,c3,6,-1.25,0.04
p0,g15,11,-1.4,0.08
p0,g16,6,-1.76,0.04
p0,i17,2,-1.76,0.01
p0,i18,4,-1.76,0.03
p0,l19,2,-1.36,0.01
p0,p0,49,-1.1,0.36
p0,p10,2,-1.76,0.01
p0,p11,2,-0.62,0.01
p0,p12,2,-1.36,0.01
p0,p23,2,-1.02,0.01
p0,p5,7,-1.32,0.05
p0,p6,7,-1.53,0.05
p0,p7,7,-1.32,0.05
p0,p8,6,-1.5,0.04
p0,p9,3,-0.73,0.02
p1,c2,1,-1.76,0.5
p1,c24,1,-0.96,0.5
p10,c3,2,-0.62,0.04
p10,g15,1,-1.76,0.02
p10,p10,32,-1.29,0.64
p10,p27,7,-1.11,0.14
p10,p9,8,-1.09,0.16
p11,c24,1,-0.96,0.04
p11,c3,3,-0.28,0.12
p11,i18,1,-1.76,0.04
p11,p0,1,-0.96,0.04
p11,p11,15,-1.56,0.6
p11,p12,3,-1.5,0.12
p11,p23,1,-0.28,0.04
p12,p0,2,-1.36,0.29
p12,p11,4,-1.36,0.57
p12,p12,1,-1.76,0.14
p23,b13,1,-0.28,0.01
p23,c2,1,-1.76,0.01
p23,c24,6,-0.89,0.05
p23,c3,6,-0.89,0.05
p23,g15,30,-1.42,0.27
p23,g16,12,-1.7,0.11
p23,i17,1,-1.76,0.01
p23,i18,2,-1.76,0.02
p23,i34,1,-1.76,0.01
p23,l26,1,-0.28,0.01
p23,p0,19,-1.52,0.17
p23,p1,1,-1.76,0.01
p23,p10,1,-0.28,0.01
p23,p25,2,-1.02,0.02
p23,p31,10,-1.28,0.09
p23,p35,1,-1.76,0.01
p23,p5,6,-1.5,0.05
p23,p6,10,-1.54,0.09
p23,p8,1,-1.76,0.01
p25,g15,1,-1.76,0.03
p25,l26,2,-0.28,0.05
p25,p0,8,-1.46,0.21
p25,p23,2,-0.28,0.05
p25,p29,4,-1.36,0.11
p25,p7,1,-0.96,0.03
p25,p8,20,-1.49,0.53
p27,21,1,-0.96,0.14
p27,l26,1,-0.28,0.14
p27,p0,3,-1.5,0.43
p27,p10,1,-1.76,0.14
p27,p23,1,-0.28,0.14
p29,c2,2,-1.76,0.08
p29,c3,7,-1.3,0.29
p29,i18,5,-1.76,0.21
p29,p0,3,-1.5,0.12
p29,p7,3,-1.23,0.12
p29,p8,4,-1.56,0.17
p31,c24,10,-1.04,0.43
p31,c3,2,-1.36,0.09
p31,g15,4,-1.56,0.17
p31,g16,2,-1.36,0.09
p31,p5,4,-1.56,0.17
p31,p6,1,-1.76,0.04
p32,g16,1,-1.76,0.33
p32,p31,1,-1.76,0.33
p32,p5,1,-1.76,0.33
p35,b13,1,-1.76,0.12
p35,b37,5,-0.96,0.62
p35,g15,1,-1.76,0.12
p35,p0,1,-1.76,0.12
p5,c2,4,-1.56,0.06
p5,c24,2,-1.02,0.03
p5,c3,8,-1.21,0.12
p5,c33,1,-1.76,0.02
p5,i18,1,-1.76,0.02
p5,p23,14,-1.54,0.21
p5,p31,4,-1.36,0.06
p5,p32,1,-1.76,0.02
p5,p5,10,-1.31,0.15
p5,p6,15,-1.45,0.23
p5,p8,6,-1.5,0.09
p6,b37,1,-0.96,0.01
p6,c2,1,-0.28,0.01
p6,c3,6,-1.52,0.06
p6,g15,4,-1.76,0.04
p6,g16,3,-1.76,0.03
p6,i17,1,-1.76,0.01
p6,i18,1,-1.76,0.01
p6,p0,2,-1.36,0.02
p6,p23,17,-1.53,0.18
p6,p31,2,-0.96,0.02
p6,p5,16,-1.52,0.16
p6,p6,41,-1.63,0.42
p6,p8,2,-1.76,0.02
p7,c2,1,-0.96,0.03
p7,c3,2,-0.28,0.05
p7,g15,1,-0.96,0.03
p7,g16,2,-1.76,0.05
p7,p0,1,-1.76,0.03
p7,p25,3,-1.23,0.08
p7,p29,2,-1.36,0.05
p7,p6,1,-1.76,0.03
p7,p7,9,-0.99,0.23
p7,p8,17,-1.39,0.44
p8,c2,2,-1.36,0.02
p8,c3,1,-0.96,0.01
p8,g15,1,-0.96,0.01
p8,g16,1,-1.76,0.01
p8,p25,33,-1.37,0.28
p8,p29,4,-1.56,0.03
p8,p5,7,-1.53,0.06
p8,p6,2,-1.76,0.02
p8,p7,14,-1.43,0.12
p8,p8,51,-1.56,0.44
p9,b14,1,-0.96,0.06
p9,c3,1,-0.28,0.06
p9,p10,11,-0.99,0.61
p9,p9,5,-1.31,0.28
