estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
21,21,3,-0.96,0.3
21,EOD,3,-1.0,0.3
21,c2,1,-1.76,0.1
21,p0,3,-1.0,0.3
30,p0,1,-1.76,1.0
SOD,p0,3,-1.0,1.0
b13,b13,27,-1.23,0.51
b13,b14,6,-1.36,0.11
b13,b28,9,-0.91,0.17
b13,c2,2,-0.28,0.04
b13,c3,4,-0.65,0.08
b13,c4,1,-1.76,0.02
b13,g15,3,-0.96,0.06
b13,p0,1,-0.96,0.02
b14,b13,10,-1.36,0.71
b14,b14,1,-0.96,0.07
b14,g15,1,-0.96,0.07
b14,g16,1,-0.96,0.07
b14,p7,1,-0.96,0.07
b28,b13,1,-0.96,0.11
b28,i36,1,-0.96,0.11
b28,p0,4,-1.36,0.44
b28,p23,3,-0.28,0.33
b37,g15,3,-0.96,0.38
b37,g16,3,-0.96,0.38
b37,p0,1,-0.96,0.12
b37,p8,1,-0.96,0.12
b38,g16,1,-0.96,1.0
c2,b13,2,-0.28,0.03
c2,c2,5,-1.44,0.09
c2,c22,4,-1.76,0.07
c2,c3,25,-1.12,0.43
c2,c33,1,-1.76,0.02
c2,g15,2,-1.76,0.03
c2,g16,3,-1.76,0.05
c2,i17,1,-0.96,0.02
c2,p0,4,-1.56,0.07
c2,p29,2,-1.76,0.03
c2,p5,4,-1.39,0.07
c2,p6,2,-1.76,0.03
c2,p8,3,-1.5,0.05
c22,c2,2,-1.02,0.07
c22,c3,14,-1.48,0.5
c22,p0,8,-1.29,0.29
c22,p1,1,-0.96,0.04
c22,p29,3,-1.23,0.11
c24,b37,1,-0.96,0.04
c24,g15,6,-0.96,0.21
c24,g16,2,-1.36,0.07
c24,i34,2,-0.96,0.07
c24,p0,8,-1.01,0.29
c24,p12,1,-0.96,0.04
c24,p35,2,-1.36,0.07
c24,p6,4,-0.99,0.14
c24,p8,2,-0.28,0.07
c3,21,1,-1.76,0.01
c3,b13,5,-0.58,0.03
c3,c2,26,-1.29,0.18
c3,c22,24,-1.28,0.16
c3,c3,46,-1.37,0.31
c3,g15,5,-1.44,0.03
c3,g16,8,-1.66,0.05
c3,l19,1,-1.76,0.01
c3,l20,1,-1.76,0.01
c3,p0,4,-1.02,0.03
c3,p10,2,-0.62,0.01
