estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
22,22,1,-0.85,0.05
22,EOD,11,-0.36,0.55
22,c41,2,-0.7,0.1
22,l46,1,-0.88,0.05
22,p0,3,-1.0,0.15
22,p24,2,-1.18,0.1
36,c25,1,-0.85,1.0
SOD,p0,9,-0.38,0.82
SOD,p1,1,-0.0,0.09
SOD,p5,1,-0.52,0.09
b28,c35,1,-0.85,0.04
b28,c6,4,-1.5,0.17
b28,g2,6,-0.98,0.26
b28,g3,2,-1.19,0.09
b28,l27,1,-1.5,0.04
b28,p0,3,-1.29,0.13
b28,p29,4,-1.18,0.17
b28,p4,1,-0.03,0.04
b28,p5,1,-0.13,0.04
b44,c30,2,-0.7,0.33
b44,p0,4,-1.25,0.67
b47,p48,3,-1.5,1.0
b8,b47,1,-1.5,0.03
b8,b8,4,-1.19,0.13
b8,b9,9,-0.97,0.29
b8,c30,1,-0.88,0.03
b8,c6,5,-1.25,0.16
b8,c7,3,-1.5,0.1
b8,g2,2,-0.85,0.06
b8,g3,4,-0.87,0.13
b8,i17,1,-1.5,0.03
b8,p5,1,-0.85,0.03
b9,b44,5,-1.18,0.07
b9,b8,3,-1.08,0.04
b9,b9,28,-1.14,0.41
b9,c12,1,-0.88,0.01
b9,c13,6,-0.98,0.09
b9,c30,3,-0.97,0.04
b9,c39,1,-0.88,0.01
b9,c6,3,-0.86,0.04
b9,c7,2,-0.87,0.03
b9,g2,3,-0.87,0.04
b9,g3,3,-1.28,0.04
b9,i16,1,-0.88,0.01
b9,i34,3,-0.88,0.04
b9,p0,2,-1.01,0.03
b9,p4,3,-1.28,0.04
b9,p40,1,-1.5,0.01
c12,b28,1,-0.88,0.03
c12,c12,6,-1.19,0.16
c12,c13,5,-1.37,0.14
c12,c25,1,-0.88,0.03
c12,c30,2,-0.88,0.05
c12,c7,2,-1.19,0.05
c12,g2,6,-0.81,0.16
c12,g3,3,-0.52,0.08
c12,i16,2,-1.19,0.05
c12,i17,3,-1.08,0.08
c12,p10,2,-1.18,0.05
c12,p18,1,-0.88,0.03
c12,p26,1,-0.04,0.03
c12,p5,2,-1.5,0.05
c13,b8,1,-0.88,0.02
c13,b9,4,-1.03,0.1
c13,c12,5,-1.25,0.12
c13,c13,6,-0.98,0.15
c13,c25,3,-1.5,0.08
c13,c30,5,-0.88,0.12
c13,c6,4,-1.03,0.1
c13,g3,4,-0.87,0.1
c13,l14,1,-0.88,0.02
c13,l15,1,-0.88,0.02
c13,p10,4,-1.34,0.1
c13,p18,1,-0.88,0.02
c13,p21,1,-0.88,0.02
c25,b28,1,-0.88,0.01
c25,b8,1,-1.5,0.01
c25,b9,1,-0.85,0.01
c25,c30,5,-0.85,0.06
c25,c6,3,-1.28,0.04
c25,g2,16,-1.06,0.19
c25,g3,21,-0.9,0.25
c25,l15,1,-1.5,0.01
c25,p0,13,-0.91,0.15
c25,p24,3,-1.29,0.04
c25,p26,10,-0.87,0.12
c25,p4,1,-1.5,0.01
c25,p5,9,-0.44,0.11
c30,b44,1,-0.52,0.02
c30,b8,3,-0.97,0.07
c30,b9,1,-0.88,0.02
c30,c12,1,-0.88,0.02
c30,c13,5,-0.88,0.12
c30,c35,1,-0.52,0.02
c30,c7,1,-0.85,0.02
c30,g2,7,-0.86,0.17
c30,g3,2,-0.87,0.05
c30,i16,1,-1.5,0.02
c30,i31,1,-0.85,0.02
c30,i34,2,-0.87,0.05
c30,l14,1,-1.5,0.02
c30,l15,5,-0.88,0.12
c30,l27,1,-0.85,0.02
c30,l46,1,-1.5,0.02
c30,p0,4,-0.79,0.1
c30,p1,1,-1.5,0.02
c30,p26,1,-0.85,0.02
c30,p5,1,-0.85,0.02
c35,g2,1,-0.85,0.17
c35,l15,2,-0.87,0.33
c35,p10,1,-0.85,0.17
c35,p11,2,-0.69,0.33
c39,b9,1,-0.88,0.33
c39,g3,1,-0.85,0.33
c39,p5,1,-0.52,0.33
c41,22,1,-1.5,0.03
c41,b28,1,-1.5,0.03
c41,b9,2,-1.18,0.07
c41,c6,17,-1.12,0.57
c41,c7,1,-1.5,0.03
c41,l15,1,-0.85,0.03
c41,p0,6,-1.12,0.2
c41,p24,1,-0.52,0.03
c42,b47,1,-1.5,0.2
c42,c6,3,-0.96,0.6
c42,g2,1,-0.88,0.2
c6,22,2,-0.7,0.01
c6,b28,4,-1.5,0.03
c6,b8,5,-1.12,0.04
c6,b9,2,-0.88,0.01
c6,c13,3,-1.08,0.02
c6,c41,24,-1.19,0.17
c6,c42,3,-0.96,0.02
c6,c6,47,-1.26,0.33
c6,c7,13,-1.15,0.09
c6,g2,5,-1.0,0.04
