estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
c6,g3,2,-0.85,0.01
c6,i17,1,-1.5,0.01
c6,i34,1,-0.85,0.01
c6,l15,2,-1.18,0.01
c6,p0,8,-1.34,0.06
c6,p10,4,-0.94,0.03
c6,p11,2,-1.5,0.01
c6,p19,1,-1.5,0.01
c6,p26,1,-1.5,0.01
c6,p37,2,-1.5,0.01
c6,p4,1,-0.52,0.01
c6,p40,7,-0.95,0.05
c6,p5,2,-0.52,0.01
c7,b9,4,-1.03,0.11
c7,c12,1,-1.5,0.03
c7,c41,2,-1.18,0.05
c7,c6,19,-1.13,0.5
c7,c7,2,-0.88,0.05
c7,g2,2,-0.85,0.05
c7,g3,3,-0.86,0.08
c7,l15,1,-0.88,0.03
c7,p0,2,-1.5,0.05
c7,p21,1,-0.88,0.03
c7,p4,1,-1.5,0.03
g2,36,1,-0.85,0.01
g2,b28,3,-0.88,0.02
g2,b8,4,-0.86,0.03
g2,b9,3,-1.08,0.02
g2,c12,3,-0.88,0.02
g2,c13,2,-0.88,0.01
g2,c30,4,-0.87,0.03
g2,c41,1,-0.85,0.01
g2,c42,1,-0.88,0.01
g2,c6,5,-1.0,0.03
g2,c7,3,-0.86,0.02
g2,g2,13,-0.94,0.08
g2,g3,12,-0.94,0.08
g2,i16,2,-0.88,0.01
g2,i17,1,-0.85,0.01
g2,l14,2,-0.87,0.01
g2,l15,9,-0.95,0.06
g2,l27,1,-0.85,0.01
g2,l38,1,-0.52,0.01
g2,p0,1,-1.5,0.01
g2,p10,11,-1.01,0.07
g2,p11,4,-1.18,0.03
g2,p19,1,-0.88,0.01
g2,p24,40,-1.02,0.26
g2,p26,9,-1.07,0.06
g2,p29,1,-0.88,0.01
g2,p32,4,-0.86,0.03
g2,p4,14,-0.97,0.09
g3,22,1,-1.5,0.01
g3,b28,2,-1.19,0.01
g3,b8,1,-0.88,0.01
g3,c12,5,-0.73,0.04
g3,c13,2,-0.87,0.01
g3,c30,4,-1.01,0.03
g3,c6,1,-0.88,0.01
g3,c7,1,-0.85,0.01
g3,g2,19,-0.98,0.13
g3,g3,38,-0.75,0.27
g3,i16,1,-0.85,0.01
g3,i17,1,-1.5,0.01
g3,l15,4,-0.88,0.03
g3,l27,2,-0.69,0.01
g3,p10,5,-0.85,0.04
g3,p11,1,-1.5,0.01
g3,p18,1,-0.88,0.01
g3,p24,27,-0.82,0.19
g3,p26,11,-0.95,0.08
g3,p4,15,-0.79,0.11
i16,b9,1,-0.88,0.04
i16,c12,1,-0.88,0.04
i16,g2,3,-0.87,0.13
i16,i16,3,-0.85,0.13
i16,i17,7,-1.11,0.3
i16,i43,2,-1.01,0.09
i16,l15,4,-0.79,0.17
i16,p1,1,-1.5,0.04
i16,p10,1,-1.5,0.04
i17,b8,1,-1.5,0.01
i17,c12,4,-0.82,0.05
i17,c6,1,-1.5,0.01
i17,g3,2,-1.18,0.03
i17,i16,7,-1.09,0.09
i17,i17,43,-1.08,0.57
i17,i43,6,-1.15,0.08
i17,l27,1,-0.88,0.01
i17,p0,1,-1.5,0.01
i17,p10,3,-0.81,0.04
i17,p11,3,-0.76,0.04
i17,p26,1,-0.88,0.01
i17,p32,1,-1.5,0.01
i17,p4,1,-1.5,0.01
i31,c13,1,-0.88,0.25
i31,g2,1,-0.85,0.25
i31,l38,2,-0.87,0.5
i34,b28,1,-0.85,0.1
i34,b8,1,-0.88,0.1
i34,b9,2,-0.88,0.2
i34,c35,3,-0.86,0.3
i34,c6,1,-0.85,0.1
i34,l14,1,-0.88,0.1
i34,l15,1,-0.88,0.1
i43,c6,1,-1.5,0.12
i43,i17,1,-1.5,0.12
i43,p0,4,-0.74,0.5
i43,p24,2,-1.5,0.25
l14,c13,1,-0.88,0.06
l14,g2,1,-0.88,0.06
l14,g3,1,-0.85,0.06
l14,i34,1,-0.88,0.06
l14,l14,2,-1.5,0.12
l14,l15,7,-1.23,0.41
l14,l46,1,-1.5,0.06
l14,p0,1,-1.5,0.06
l14,p4,1,-0.03,0.06
l14,p5,1,-1.5,0.06
l15,22,2,-0.87,0.03
l15,b8,1,-1.5,0.02
l15,c13,1,-0.88,0.02
l15,c30,4,-1.03,0.07
l15,c6,1,-0.85,0.02
l15,c7,1,-0.88,0.02
l15,g2,5,-1.0,0.08
l15,g3,8,-0.88,0.13
l15,i16,2,-0.88,0.03
l15,i17,2,-0.7,0.03
l15,i34,1,-0.88,0.02
l15,l14,5,-1.25,0.08
l15,l15,19,-1.27,0.31
l15,l46,2,-1.5,0.03
l15,p0,1,-1.5,0.02
l15,p1,1,-0.85,0.02
l15,p40,5,-1.0,0.08
l27,b28,1,-0.85,0.11
l27,b9,1,-1.5,0.11
l27,g2,2,-1.18,0.22
l27,g3,2,-0.69,0.22
l27,i17,1,-0.88,0.11
l27,p26,1,-0.85,0.11
l27,p5,1,-0.85,0.11
l38,c6,1,-1.5,0.2
l38,g2,1,-0.88,0.2
l38,g3,1,-0.52,0.2
l38,p5,2,-1.18,0.4
l46,c6,1,-1.5,0.2
l46,c7,1,-0.88,0.2
l46,p0,3,-1.5,0.6
p0,22,10,-0.31,0.06
p0,b8,3,-1.29,0.02
p0,b9,4,-1.25,0.02
p0,c12,2,-1.5,0.01
p0,c13,2,-0.88,0.01
p0,c30,3,-0.97,0.02
p0,c6,7,-1.36,0.04
p0,c7,5,-1.12,0.03
p0,g2,11,-1.01,0.07
p0,g3,5,-1.12,0.03
p0,i16,4,-0.89,0.02
p0,i17,3,-1.29,0.02
p0,l14,2,-1.5,0.01
p0,l15,3,-1.29,0.02
p0,p0,48,-0.89,0.3
p0,p1,1,-1.5,0.01
p0,p10,14,-1.21,0.09
p0,p11,5,-1.3,0.03
p0,p18,3,-0.97,0.02
p0,p19,1,-1.5,0.01
p0,p20,1,-0.88,0.01
p0,p21,1,-1.5,0.01
p0,p23,1,-0.85,0.01
p0,p26,1,-0.52,0.01
p0,p33,1,-1.5,0.01
p0,p4,10,-0.85,0.06
p0,p40,2,-1.18,0.01
p0,p5,8,-1.02,0.05
p1,22,1,-0.0,0.11
p1,i17,1,-1.5,0.11
p1,p0,4,-1.34,0.44
p1,p1,1,-1.5,0.11
p1,p33,1,-0.52,0.11
p1,p5,1,-1.5,0.11
p10,b9,1,-0.85,0.01
p10,c13,3,-1.5,0.02
p10,c30,1,-0.85,0.01
p10,c6,2,-1.01,0.01
p10,g2,17,-1.01,0.12
p10,g3,2,-0.7,0.01
p10,i17,3,-0.48,0.02
p10,p0,2,-1.5,0.01
p10,p10,42,-1.13,0.29
p10,p11,8,-1.21,0.05
p10,p33,40,-1.1,0.27
p10,p4,1,-1.5,0.01
p10,p40,9,-1.28,0.06
p10,p5,16,-1.36,0.11
p11,c6,2,-1.5,0.04
p11,g2,5,-1.24,0.1
p11,g3,2,-1.01,0.04
p11,i17,2,-0.88,0.04
p11,p0,2,-1.01,0.04
p11,p10,13,-1.0,0.26
p11,p11,10,-0.69,0.2
p11,p33,8,-1.09,0.16
p11,p4,1,-1.5,0.02
p11,p40,1,-1.5,0.02
p11,p5,4,-0.13,0.08
p18,c12,1,-0.88,0.02
p18,g2,1,-0.88,0.02
p18,g3,1,-0.88,0.02
p18,i31,1,-0.88,0.02
p18,p18,29,-1.15,0.69
p18,p19,6,-0.98,0.14
p18,p45,3,-0.85,0.07
p19,c6,1,-1.5,0.08
p19,p0,1,-1.5,0.08
p19,p18,6,-0.98,0.5
p19,p19,2,-1.19,0.17
p19,p45,1,-0.88,0.08
p19,p5,1,-1.5,0.08
p20,p20,1,-0.88,0.5
p20,p21,1,-0.88,0.5
p21,c13,1,-0.88,0.08
p21,c7,1,-0.88,0.08
p21,p0,2,-1.19,0.15
p21,p21,9,-0.95,0.69
p23,p0,1,-0.85,1.0
p24,b8,1,-0.85,0.01
p24,c12,1,-0.85,0.01
p24,c13,1,-1.5,0.01
p24,c25,80,-0.9,0.72
p24,c6,2,-0.69,0.02
p24,g3,3,-0.75,0.03
p24,p0,10,-1.09,0.09
p24,p1,1,-1.5,0.01
p24,p11,1,-0.13,0.01
p24,p26,3,-0.85,0.03
p24,p4,3,-1.28,0.03
p24,p5,5,-0.5,0.05
p26,b28,6,-1.28,0.13
p26,b8,1,-0.88,0.02
p26,b9,1,-0.52,0.02
p26,c30,1,-0.85,0.02
p26,c6,1,-1.5,0.02
p26,g2,10,-0.99,0.22
p26,g3,7,-0.81,0.15
p26,i17,2,-0.46,0.04
p26,l27,1,-0.85,0.02
p26,p0,2,-1.01,0.04
p26,p1,1,-0.52,0.02
p26,p10,1,-0.88,0.02
p26,p24,2,-0.13,0.04
p26,p4,4,-1.5,0.09
p26,p5,6,-0.49,0.13
p29,g2,1,-0.88,0.2
p29,g3,1,-0.85,0.2
p29,l27,2,-1.18,0.4
p29,p5,1,-1.5,0.2
p32,c39,2,-0.69,0.29
p32,c42,1,-1.5,0.14
p32,g2,1,-0.85,0.14
p32,p10,2,-0.85,0.29
p32,p37,1,-0.88,0.14
p33,22,1,-1.5,0.02
p33,c12,2,-1.18,0.04
p33,c13,1,-1.5,0.02
p33,c6,1,-0.85,0.02
p33,g2,1,-0.52,0.02
p33,i34,2,-0.85,0.04
p33,p0,9,-1.28,0.18
p33,p1,1,-1.5,0.02
p33,p10,19,-1.19,0.38
p33,p11,4,-0.77,0.08
p33,p32,1,-0.85,0.02
p33,p4,2,-0.45,0.04
p33,p40,4,-0.77,0.08
p33,p5,2,-1.5,0.04
p37,b47,1,-1.5,0.2
p37,c6,1,-1.5,0.2
p37,i31,2,-0.87,0.4
p37,p4,1,-1.5,0.2
p4,b28,2,-0.76,0.02
p4,b9,1,-1.5,0.01
p4,c12,4,-1.01,0.04
p4,c30,1,-1.5,0.01
p4,c6,1,-0.52,0.01
p4,c7,1,-1.5,0.01
p4,g2,13,-0.95,0.13
p4,g3,11,-0.85,0.11
p4,i17,1,-1.5,0.01
p4,l14,1,-0.03,0.01
p4,p0,6,-0.44,0.06
p4,p10,6,-1.23,0.06
p4,p11,3,-0.39,0.03
p4,p24,10,-1.12,0.1
p4,p26,2,-1.5,0.02
p4,p37,1,-1.5,0.01
p4,p4,19,-1.28,0.2
p4,p5,14,-1.29,0.14
p40,b9,1,-1.5,0.03
p40,c30,4,-0.79,0.14
p40,c35,1,-0.85,0.03
p40,c41,1,-0.85,0.03
p40,c6,5,-0.98,0.17
p40,c7,1,-0.88,0.03
p40,l14,1,-0.88,0.03
p40,l15,1,-1.5,0.03
p40,p0,2,-1.01,0.07
p40,p10,7,-1.22,0.24
p40,p11,5,-1.3,0.17
p45,p0,3,-0.97,0.75
p45,p18,1,-0.52,0.25
p48,i17,1,-1.5,0.33
p48,l38,2,-1.5,0.67
p5,22,1,-0.85,0.01
p5,b28,1,-0.13,0.01
p5,b8,1,-1.5,0.01
p5,b9,1,-0.85,0.01
p5,c30,1,-0.85,0.01
p5,c6,2,-0.52,0.02
p5,g2,2,-0.87,0.02
p5,g3,1,-0.85,0.01
p5,i17,1,-1.5,0.01
p5,l14,1,-1.5,0.01
p5,p0,4,-1.5,0.04
p5,p10,12,-1.44,0.12
p5,p11,2,-0.13,0.02
p5,p19,1,-1.5,0.01
p5,p24,24,-0.68,0.23
p5,p26,5,-0.48,0.05
p5,p32,1,-0.52,0.01
p5,p37,1,-0.85,0.01
p5,p4,18,-1.16,0.17
p5,p5,23,-0.38,0.22
