estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
24,EOD,12,-0.35,0.36
24,b20,2,-0.79,0.06
24,c33,1,-0.79,0.03
24,i39,1,-1.17,0.03
24,i4,2,-1.17,0.06
24,l18,1,-0.79,0.03
24,p0,9,-0.62,0.27
24,p26,3,-0.8,0.09
24,p35,1,-0.25,0.03
24,p9,1,-1.17,0.03
38,p0,1,-0.53,1.0
SOD,p0,11,-0.38,0.92
SOD,p7,1,-0.01,0.08
b20,24,1,-0.79,0.12
b20,c29,1,-0.79,0.12
b20,c3,2,-0.49,0.25
b20,g15,1,-0.79,0.12
b20,p0,2,-0.66,0.25
b20,p35,1,-0.53,0.12
b21,24,1,-0.79,0.08
b21,b20,1,-0.79,0.08
b21,b21,6,-0.79,0.5
b21,g15,3,-0.79,0.25
b21,p34,1,-0.79,0.08
b45,c17,1,-0.79,0.33
b45,g15,1,-0.79,0.33
b45,p7,1,-0.35,0.33
c16,c16,12,-0.79,0.29
c16,c17,4,-0.79,0.1
c16,c2,1,-0.53,0.02
c16,c27,2,-0.79,0.05
c16,c3,1,-1.17,0.02
c16,g14,8,-0.77,0.2
c16,g15,5,-0.47,0.12
c16,l18,1,-0.79,0.02
c16,p1,1,-0.53,0.02
c16,p13,2,-0.79,0.05
c16,p28,1,-0.35,0.02
c16,p7,1,-0.8,0.02
c16,p9,2,-0.39,0.05
c17,c16,6,-0.79,0.5
c17,c17,1,-0.79,0.08
c17,p25,1,-0.79,0.08
c17,p28,1,-0.25,0.08
c17,p9,3,-0.35,0.25
c2,c16,1,-0.53,0.01
c2,c2,13,-0.81,0.14
c2,c3,41,-0.71,0.43
c2,c32,2,-1.17,0.02
c2,c33,1,-0.19,0.01
c2,g14,2,-0.42,0.02
c2,g15,2,-0.67,0.02
c2,i5,3,-0.53,0.03
c2,l18,2,-0.99,0.02
c2,l19,2,-0.68,0.02
c2,p0,6,-0.68,0.06
c2,p1,1,-0.53,0.01
c2,p12,2,-0.36,0.02
c2,p13,1,-0.79,0.01
c2,p46,1,-1.17,0.01
c2,p7,3,-0.93,0.03
c2,p8,5,-0.66,0.05
c2,p9,8,-0.65,0.08
c27,24,2,-0.61,0.03
c27,b45,1,-0.35,0.01
c27,c29,5,-0.71,0.07
c27,c3,2,-0.8,0.03
c27,g14,11,-0.72,0.16
c27,g15,11,-0.66,0.16
c27,i30,1,-0.8,0.01
c27,l31,1,-0.8,0.01
c27,p0,16,-0.74,0.24
c27,p25,1,-0.8,0.01
c27,p26,2,-0.79,0.03
c27,p28,2,-0.99,0.03
c27,p6,3,-1.05,0.04
c27,p7,6,-0.99,0.09
c27,p9,3,-0.74,0.04
c29,b20,1,-0.79,0.02
c29,b21,1,-0.79,0.02
c29,c2,1,-0.79,0.02
c29,c3,4,-0.66,0.07
c29,c42,2,-0.25,0.03
c29,g14,3,-0.65,0.05
c29,g15,4,-0.8,0.07
c29,j10,1,-0.79,0.02
c29,l18,5,-0.83,0.08
c29,l36,1,-1.17,0.02
c29,p0,10,-0.69,0.17
c29,p1,4,-0.53,0.07
c29,p13,3,-0.19,0.05
c29,p23,1,-0.79,0.02
c29,p26,1,-0.8,0.02
c29,p35,2,-0.53,0.03
c29,p7,3,-0.65,0.05
c29,p8,2,-0.76,0.03
c29,p9,10,-0.6,0.17
c3,b20,1,-0.19,0.0
c3,b21,1,-0.79,0.0
c3,c2,34,-0.73,0.15
c3,c3,57,-0.83,0.25
c3,c32,47,-0.79,0.21
c3,c33,8,-0.44,0.04
c3,c37,1,-1.17,0.0
c3,c42,1,-1.17,0.0
c3,g14,6,-0.71,0.03
c3,g15,7,-0.72,0.03
c3,i30,1,-1.17,0.0
