estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
c3,i5,2,-0.98,0.01
c3,l18,7,-0.82,0.03
c3,l19,1,-0.79,0.0
c3,l31,1,-1.17,0.0
c3,p0,11,-0.65,0.05
c3,p1,2,-0.53,0.01
c3,p12,1,-0.19,0.0
c3,p13,1,-0.19,0.0
c3,p22,2,-0.79,0.01
c3,p23,4,-0.79,0.02
c3,p25,1,-0.19,0.0
c3,p28,5,-0.68,0.02
c3,p34,1,-0.8,0.0
c3,p46,1,-1.17,0.0
c3,p6,2,-0.8,0.01
c3,p7,2,-0.8,0.01
c3,p8,4,-0.69,0.02
c3,p9,14,-0.37,0.06
c32,c2,5,-0.9,0.08
c32,c3,23,-0.76,0.38
c32,l18,1,-0.8,0.02
c32,l31,1,-1.17,0.02
c32,p0,18,-0.82,0.3
c32,p26,1,-0.53,0.02
c32,p28,6,-0.53,0.1
c32,p34,1,-1.17,0.02
c32,p8,1,-0.79,0.02
c32,p9,4,-0.64,0.07
c33,c3,5,-0.41,0.33
c33,g15,1,-0.8,0.07
c33,l18,2,-0.79,0.13
c33,p0,2,-0.36,0.13
c33,p28,1,-0.79,0.07
c33,p43,1,-0.19,0.07
c33,p9,3,-0.41,0.2
c37,c3,1,-0.53,0.17
c37,c48,2,-1.17,0.33
c37,g14,1,-0.53,0.17
c37,p0,1,-0.19,0.17
c37,p35,1,-0.53,0.17
c42,l18,1,-0.79,0.25
c42,p0,2,-0.25,0.5
c42,p6,1,-1.17,0.25
c48,p0,1,-1.17,0.5
c48,p8,1,-1.17,0.5
g14,24,2,-0.79,0.01
g14,c16,7,-0.8,0.04
g14,c2,4,-0.8,0.02
g14,c29,1,-0.8,0.01
g14,c3,6,-0.67,0.03
g14,c33,1,-0.8,0.01
g14,g14,82,-0.76,0.44
g14,g15,23,-0.72,0.12
g14,i30,1,-0.8,0.01
g14,i4,3,-0.79,0.02
g14,l18,3,-0.8,0.02
g14,l19,1,-0.8,0.01
g14,l31,2,-0.79,0.01
g14,p26,22,-0.66,0.12
g14,p28,8,-0.67,0.04
g14,p6,8,-0.85,0.04
g14,p7,1,-1.17,0.01
g14,p8,2,-0.67,0.01
g14,p9,11,-0.69,0.06
g15,24,1,-0.8,0.01
g15,b20,1,-0.79,0.01
g15,b21,3,-0.79,0.02
g15,c16,7,-0.42,0.06
g15,c2,1,-0.03,0.01
g15,c29,4,-0.69,0.03
g15,c3,3,-0.8,0.02
g15,g14,22,-0.76,0.18
g15,g15,25,-0.66,0.2
g15,i30,3,-0.79,0.02
g15,i40,1,-0.79,0.01
g15,i5,2,-0.79,0.02
g15,l19,1,-0.8,0.01
g15,p0,1,-1.17,0.01
g15,p25,1,-0.8,0.01
g15,p26,25,-0.72,0.2
g15,p28,1,-0.53,0.01
g15,p43,1,-0.79,0.01
g15,p6,12,-0.66,0.1
g15,p8,4,-0.54,0.03
g15,p9,6,-0.67,0.05
i30,c3,1,-1.17,0.17
i30,g14,1,-0.8,0.17
i30,g15,4,-0.8,0.67
i39,c3,1,-0.79,0.17
i39,p0,5,-1.17,0.83
i4,b45,1,-0.79,0.04
i4,c3,1,-0.8,0.04
i4,g14,1,-0.79,0.04
i4,g15,1,-0.79,0.04
i4,i4,4,-1.17,0.17
i4,i5,13,-1.14,0.54
i4,p0,2,-0.99,0.08
i4,p12,1,-1.17,0.04
i40,p6,1,-0.79,1.0
i5,24,2,-1.17,0.03
i5,c2,2,-0.79,0.03
i5,c3,2,-0.98,0.03
i5,g15,2,-0.79,0.03
i5,i39,5,-1.1,0.08
i5,i4,11,-1.14,0.17
i5,i5,35,-1.02,0.56
i5,l18,1,-0.79,0.02
i5,p0,2,-0.41,0.03
i5,p7,1,-0.79,0.02
j10,j10,1,-0.79,0.25
j10,j11,2,-0.79,0.5
j10,p0,1,-0.8,0.25
j11,24,1,-0.79,0.09
j11,c29,1,-0.79,0.09
j11,j11,9,-0.79,0.82
l18,24,2,-0.79,0.03
l18,c16,1,-0.79,0.02
l18,c2,3,-0.85,0.05
l18,c29,4,-0.74,0.07
l18,c3,4,-0.74,0.07
l18,g14,4,-0.8,0.07
l18,g15,2,-0.57,0.03
l18,i5,1,-0.79,0.02
l18,l18,22,-0.88,0.36
l18,l19,6,-0.98,0.1
l18,l36,8,-0.81,0.13
l18,l41,1,-0.79,0.02
l18,p0,1,-0.8,0.02
l18,p34,2,-0.79,0.03
l19,24,1,-0.79,0.06
l19,c2,1,-0.79,0.06
l19,c3,2,-0.98,0.12
l19,c33,1,-0.79,0.06
l19,c42,1,-0.79,0.06
l19,g14,2,-0.8,0.12
l19,l18,3,-0.85,0.19
l19,l19,3,-1.05,0.19
l19,l36,1,-1.17,0.06
l19,p34,1,-1.17,0.06
l31,c3,2,-0.85,0.29
l31,g14,1,-0.79,0.14
l31,g15,2,-0.8,0.29
l31,p0,1,-1.17,0.14
l31,p6,1,-1.17,0.14
l36,c29,2,-0.98,0.18
l36,l18,2,-0.79,0.18
l36,p0,5,-0.77,0.45
l36,p34,1,-1.17,0.09
l36,p6,1,-0.79,0.09
l41,c29,1,-0.79,0.5
l41,p34,1,-1.17,0.5
p0,24,16,-0.4,0.08
p0,38,1,-0.53,0.0
p0,b20,2,-0.53,0.01
p0,b21,1,-0.79,0.0
p0,c17,1,-0.79,0.0
p0,c2,13,-0.66,0.06
p0,c29,6,-0.8,0.03
p0,c3,21,-0.81,0.1
p0,c37,1,-0.19,0.0
p0,g14,8,-0.65,0.04
p0,g15,6,-0.68,0.03
p0,i4,3,-0.93,0.01
p0,i5,6,-1.05,0.03
p0,j10,2,-0.8,0.01
p0,l18,4,-0.74,0.02
p0,l19,2,-0.98,0.01
p0,p0,47,-0.55,0.23
p0,p1,2,-0.44,0.01
p0,p12,2,-0.5,0.01
p0,p13,3,-0.72,0.01
p0,p22,1,-0.79,0.0
p0,p28,4,-0.76,0.02
p0,p34,1,-0.25,0.0
p0,p6,10,-0.85,0.05
p0,p7,6,-0.85,0.03
p0,p8,16,-0.8,0.08
p0,p9,22,-0.75,0.11
p1,c29,2,-0.53,0.12
p1,c32,3,-0.62,0.18
p1,c33,1,-0.53,0.06
p1,p0,5,-0.39,0.29
p1,p26,1,-0.53,0.06
p1,p28,4,-0.53,0.24
p1,p9,1,-0.53,0.06
p12,i4,1,-1.17,0.1
p12,p0,1,-0.8,0.1
p12,p12,2,-0.19,0.2
p12,p13,3,-0.19,0.3
p12,p44,1,-0.19,0.1
p12,p8,1,-0.53,0.1
p12,p9,1,-0.19,0.1
p13,24,1,-1.17,0.03
p13,c16,1,-0.79,0.03
p13,c2,1,-0.19,0.03
p13,c29,4,-0.34,0.13
p13,c3,1,-0.19,0.03
p13,c33,1,-0.19,0.03
p13,p12,2,-0.19,0.06
p13,p13,16,-0.57,0.52
p13,p34,1,-0.79,0.03
p13,p43,1,-0.79,0.03
p13,p44,2,-0.49,0.06
p22,c3,3,-0.79,0.33
p22,p0,1,-0.79,0.11
p22,p22,1,-0.79,0.11
p22,p23,4,-0.79,0.44
p23,c29,1,-0.79,0.06
p23,c3,3,-0.79,0.19
p23,p22,4,-0.79,0.25
p23,p23,7,-0.79,0.44
p23,p43,1,-0.79,0.06
p25,b45,1,-0.79,0.2
p25,c2,1,-0.19,0.2
p25,g14,1,-0.8,0.2
p25,g15,2,-0.8,0.4
p26,c17,1,-0.79,0.01
p26,c27,65,-0.76,0.78
p26,c29,1,-0.8,0.01
p26,g14,1,-0.53,0.01
p26,g15,2,-0.79,0.02
p26,p0,6,-0.86,0.07
p26,p1,1,-0.53,0.01
p26,p28,4,-0.78,0.05
p26,p6,1,-1.17,0.01
p26,p7,1,-1.17,0.01
p28,c2,1,-0.35,0.02
p28,c3,4,-0.74,0.07
p28,c32,9,-0.61,0.17
p28,g14,8,-0.73,0.15
p28,g15,4,-0.49,0.07
p28,l31,1,-0.53,0.02
p28,p0,7,-0.63,0.13
p28,p1,1,-0.04,0.02
p28,p26,1,-1.17,0.02
p28,p47,1,-1.17,0.02
p28,p6,4,-1.08,0.07
p28,p7,10,-0.71,0.19
p28,p8,2,-0.3,0.04
p28,p9,1,-0.53,0.02
p34,c16,1,-1.17,0.06
p34,c2,1,-1.17,0.06
p34,c29,3,-0.43,0.17
p34,c3,1,-0.8,0.06
p34,l18,3,-0.92,0.17
p34,p0,3,-1.17,0.17
p34,p13,1,-0.79,0.06
p34,p8,1,-1.17,0.06
p34,p9,4,-0.85,0.22
p35,c16,1,-0.53,0.02
p35,c17,1,-0.25,0.02
p35,c2,1,-0.53,0.02
p35,c29,7,-0.52,0.14
p35,c3,3,-0.35,0.06
p35,g15,2,-1.17,0.04
p35,l36,1,-0.53,0.02
p35,p0,14,-0.96,0.27
p35,p1,1,-0.53,0.02
p35,p34,2,-0.85,0.04
p35,p7,1,-0.04,0.02
p35,p8,1,-1.17,0.02
p35,p9,16,-0.47,0.31
p43,c16,1,-0.79,0.25
p43,p13,1,-0.19,0.25
p43,p22,1,-0.79,0.25
p43,p28,1,-0.79,0.25
p44,p0,3,-0.39,1.0
p46,c3,1,-1.17,0.33
p46,l41,1,-1.17,0.33
p46,p9,1,-0.25,0.33
p47,c3,1,-1.17,1.0
p6,24,1,-0.53,0.01
p6,c16,1,-0.8,0.01
p6,c29,1,-0.8,0.01
p6,c3,2,-0.8,0.02
p6,c33,1,-0.53,0.01
p6,g14,9,-0.81,0.09
p6,g15,8,-0.63,0.08
p6,l18,2,-0.8,0.02
p6,l31,1,-1.17,0.01
p6,p0,4,-0.82,0.04
p6,p26,9,-0.99,0.09
p6,p28,8,-0.97,0.08
p6,p6,31,-0.88,0.31
p6,p7,16,-1.0,0.16
p6,p8,2,-0.8,0.02
p6,p9,5,-0.99,0.05
p7,c16,1,-0.8,0.01
p7,c2,4,-0.7,0.05
p7,c29,1,-0.8,0.01
p7,c3,2,-0.99,0.02
p7,g14,1,-1.17,0.01
p7,i5,1,-0.79,0.01
p7,p25,1,-0.79,0.01
p7,p26,18,-0.89,0.22
p7,p28,6,-0.37,0.08
p7,p6,20,-0.92,0.25
p7,p7,13,-0.96,0.16
p7,p8,3,-1.17,0.04
p7,p9,9,-1.03,0.11
p8,c2,2,-0.85,0.03
p8,c29,5,-0.6,0.08
p8,c3,9,-0.56,0.14
p8,c37,1,-1.17,0.02
p8,g14,5,-0.65,0.08
p8,g15,3,-0.62,0.05
p8,p0,5,-0.77,0.08
p8,p1,1,-0.79,0.02
p8,p28,2,-0.85,0.03
p8,p34,2,-1.17,0.03
p8,p35,8,-0.93,0.13
p8,p6,1,-1.17,0.02
p8,p7,3,-0.87,0.05
p8,p8,6,-1.05,0.1
p8,p9,10,-0.93,0.16
p9,24,2,-0.71,0.01
p9,c16,1,-0.25,0.01
p9,c17,3,-0.35,0.02
p9,c2,7,-0.51,0.04
p9,c29,9,-0.64,0.05
p9,c3,17,-0.48,0.1
p9,c37,3,-0.53,0.02
p9,g14,11,-0.7,0.06
p9,g15,4,-0.57,0.02
p9,l18,1,-0.35,0.01
p9,p0,3,-0.71,0.02
p9,p1,3,-0.53,0.02
p9,p34,4,-0.78,0.02
p9,p35,38,-0.62,0.21
p9,p46,1,-0.25,0.01
p9,p6,5,-0.99,0.03
p9,p7,11,-1.0,0.06
p9,p8,12,-0.9,0.07
p9,p9,42,-0.97,0.24
